-4.67742;-9.98959;
-4.35484;-9.32362;
-4.03226;-8.65765;
-3.70968;-7.99168;
-3.3871;-7.3257;
-3.06452;-6.65973;
-2.74194;-5.99376;
-2.41935;-5.32778;
-2.09677;-4.66181;
-1.77419;-3.99584;
-1.45161;-3.32986;
-1.12903;-2.66389;
-0.806452;-1.99792;
-0.483871;-1.33195;
-0.16129;-0.665973;
0.16129;-0;
0.483871;0.665973;
0.806452;1.33195;
1.12903;1.99792;
1.45161;2.66389;
1.77419;3.32986;
2.09677;3.99584;
2.41935;4.66181;
2.74194;5.32778;
3.06452;5.99376;
3.3871;6.65973;
3.70968;7.3257;
4.03226;7.99168;
4.35484;8.65765;
4.67742;9.32362;
5;9.98959;
